frame	time	active_motion	active_phase	replacement_blend	hand_r_x	hand_r_y	hand_r_z	swept_target_distance	pelvis_x	pelvis_y	pelvis_z	lead_foot_drift	detached_centroid_x	detached_centroid_y	detached_centroid_z	detached_min_y	attached_voxels	base_joints	replacement_joints	physics_joints
27	0.9	Punch_Cross	0.766667	1	-0.228311	1.24089	0.378597	0.350646	0.000515727	0.841481	-0.0174704	0.000141163	-0.0397738	0.10431	0.162505	0.0332449	1644	1	43	21
28	0.933333	Punch_Cross	0.8	1	-0.239594	1.25669	0.318052	0.402458	0.00332224	0.838271	-0.0183189	6.5352e-07	-0.0399854	0.102499	0.162589	0.0305596	1644	1	43	21
29	0.966667	Punch_Cross	0.833333	1	-0.245303	1.274	0.259206	0.454718	0.00635799	0.835088	-0.0192639	0.000101431	-0.0401097	0.101152	0.162683	0.0285935	1644	1	43	21
30	1	Punch_Cross	0.866667	1	-0.245551	1.29001	0.205683	0.505418	0.00939374	0.831904	-0.020209	5.12887e-06	-0.0401936	0.100406	0.162724	0.0275162	1644	1	43	21
31	1.03333	Punch_Cross	0.9	1	-0.24075	1.30319	0.162034	0.551489	0.0125512	0.829195	-0.0209695	1.72549e-05	-0.0402568	0.100135	0.162713	0.027127	1644	1	43	21
32	1.06667	Punch_Cross	0.933333	1	-0.234586	1.31257	0.129569	0.588509	0.0153925	0.827041	-0.0215249	2.10385e-06	-0.0403017	0.100059	0.162688	0.0270167	1644	1	43	21
33	1.1	Punch_Cross	0.966667	1	-0.230478	1.31806	0.108163	0.615987	0.017277	0.825618	-0.0218937	4.11393e-07	-0.0403316	0.100037	0.162667	0.0269853	1644	1	43	21
34	1.13333	Punch_Cross	1	1	-0.228974	1.31988	0.100521	0.634501	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.040351	0.100031	0.162653	0.0269764	1644	1	43	21
35	1.16667	Punch_Cross	1.03333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403634	0.100029	0.162643	0.0269738	1644	1	43	21
36	1.2	Punch_Cross	1.06667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403714	0.100029	0.162637	0.0269731	1644	1	43	21
37	1.23333	Punch_Cross	1.1	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403764	0.100029	0.162632	0.0269728	1644	1	43	21
38	1.26667	Punch_Cross	1.13333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403796	0.100029	0.16263	0.0269728	1644	1	43	21
39	1.3	Punch_Cross	1.16667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403817	0.100029	0.162628	0.0269727	1644	1	43	21
40	1.33333	Punch_Cross	1.2	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.040383	0.100029	0.162627	0.0269727	1644	1	43	21
41	1.36667	Punch_Cross	1.23333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403838	0.100029	0.162627	0.0269727	1644	1	43	21
42	1.4	Punch_Cross	1.26667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403844	0.100029	0.162626	0.0269727	1644	1	43	21
43	1.43333	Punch_Cross	1.3	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403847	0.100029	0.162626	0.0269727	1644	1	43	21
44	1.46667	Punch_Cross	1.33333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403849	0.100029	0.162626	0.0269727	1644	1	43	21
45	1.5	Punch_Cross	1.36667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.040385	0.100029	0.162626	0.0269727	1644	1	43	21
46	1.53333	Punch_Cross	1.4	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403851	0.100029	0.162625	0.0269727	1644	1	43	21
47	1.56667	Punch_Cross	1.43333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403852	0.100029	0.162625	0.0269727	1644	1	43	21
48	1.6	Punch_Cross	1.46667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403852	0.100029	0.162625	0.0269727	1644	1	43	21
49	1.63333	Punch_Cross	1.5	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403852	0.100029	0.162625	0.0269727	1644	1	43	21
50	1.66667	Punch_Cross	1.53333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
51	1.7	Punch_Cross	1.56667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
52	1.73333	Punch_Cross	1.6	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
53	1.76667	Punch_Cross	1.63333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
54	1.8	Punch_Cross	1.66667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
55	1.83333	Punch_Cross	1.7	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
56	1.86667	Punch_Cross	1.73333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
57	1.9	Punch_Cross	1.76667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
58	1.93333	Punch_Cross	1.8	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
59	1.96667	Punch_Cross	1.83333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
60	2	Punch_Cross	1.86667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
61	2.03333	Punch_Cross	1.9	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
62	2.06667	Punch_Cross	1.93333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
63	2.1	Punch_Cross	1.96667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
64	2.13333	Punch_Cross	2	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
65	2.16667	Punch_Cross	2.03333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
66	2.2	Punch_Cross	2.06667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
67	2.23333	Punch_Cross	2.1	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
68	2.26667	Punch_Cross	2.13333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
69	2.3	Punch_Cross	2.16667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
70	2.33333	Punch_Cross	2.2	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
71	2.36667	Punch_Cross	2.23333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
72	2.4	Punch_Cross	2.26667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
73	2.43333	Punch_Cross	2.3	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
74	2.46667	Punch_Cross	2.33333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
75	2.5	Punch_Cross	2.36667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
76	2.53333	Punch_Cross	2.4	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
77	2.56667	Punch_Cross	2.43333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
78	2.6	Punch_Cross	2.46667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
79	2.63333	Punch_Cross	2.5	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
80	2.66667	Punch_Cross	2.53333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
81	2.7	Punch_Cross	2.56667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
82	2.73333	Punch_Cross	2.6	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
83	2.76667	Punch_Cross	2.63333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
84	2.8	Punch_Cross	2.66667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
85	2.83333	Punch_Cross	2.7	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
86	2.86667	Punch_Cross	2.73333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
87	2.9	Punch_Cross	2.76667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
88	2.93333	Punch_Cross	2.8	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
89	2.96667	Punch_Cross	2.83333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
90	3	Punch_Cross	2.86667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
91	3.03333	Punch_Cross	2.9	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
92	3.06667	Punch_Cross	2.93333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
93	3.1	Punch_Cross	2.96667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
94	3.13333	Punch_Cross	3	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
95	3.16667	Punch_Cross	3.03333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
96	3.2	Punch_Cross	3.06667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
97	3.23333	Punch_Cross	3.1	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
98	3.26667	Punch_Cross	3.13333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
99	3.3	Punch_Cross	3.16667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
100	3.33333	Punch_Cross	3.2	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
101	3.36667	Punch_Cross	3.23333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
102	3.4	Punch_Cross	3.26667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
103	3.43333	Punch_Cross	3.3	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
104	3.46667	Punch_Cross	3.33333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
105	3.5	Punch_Cross	3.36667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
106	3.53333	Punch_Cross	3.4	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
107	3.56667	Punch_Cross	3.43333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
108	3.6	Punch_Cross	3.46667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
109	3.63333	Punch_Cross	3.5	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
110	3.66667	Punch_Cross	3.53333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
111	3.7	Punch_Cross	3.56667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
112	3.73333	Punch_Cross	3.6	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
113	3.76667	Punch_Cross	3.63333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
114	3.8	Punch_Cross	3.66667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
115	3.83333	Punch_Cross	3.7	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
116	3.86667	Punch_Cross	3.73333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
117	3.9	Punch_Cross	3.76667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
118	3.93333	Punch_Cross	3.8	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
119	3.96667	Punch_Cross	3.83333	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	7.85046e-17	-0.0403853	0.100029	0.162625	0.0269727	1644	1	43	21
